Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,Estrangera,25-29 anys,80
2016,10,Sant Martí,68,el Poblenou,Dona,Estrangera,25-29 anys,351
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,Estrangera,25-29 anys,107
2016,10,Sant Martí,70,el Besòs i el Maresme,Dona,Estrangera,25-29 anys,252
2016,10,Sant Martí,71,Provençals del Poblenou,Dona,Estrangera,25-29 anys,153
2016,10,Sant Martí,72,Sant Martí de Provençals,Dona,Estrangera,25-29 anys,186
2016,10,Sant Martí,73,la Verneda i la Pau,Dona,Estrangera,25-29 anys,190
2016,1,Ciutat Vella,1,el Raval,Dona,Estrangera,30-34 anys,1481
2016,1,Ciutat Vella,2,el Barri Gòtic,Dona,Estrangera,30-34 anys,583
2016,1,Ciutat Vella,3,la Barceloneta,Dona,Estrangera,30-34 anys,510
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,Estrangera,30-34 anys,882
2016,2,Eixample,5,el Fort Pienc,Dona,Estrangera,30-34 anys,591
2016,2,Eixample,6,la Sagrada Família,Dona,Estrangera,30-34 anys,926
2016,2,Eixample,7,la Dreta de l'Eixample,Dona,Estrangera,30-34 anys,789
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,Estrangera,30-34 anys,816
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,Estrangera,30-34 anys,926
2016,2,Eixample,10,Sant Antoni,Dona,Estrangera,30-34 anys,743
2016,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Dona,Estrangera,30-34 anys,1004
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,Dona,Estrangera,30-34 anys,7
2016,3,Sants-Montjuïc,13,la Marina de Port,Dona,Estrangera,30-34 anys,310
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,Estrangera,30-34 anys,165
2016,3,Sants-Montjuïc,15,Hostafrancs,Dona,Estrangera,30-34 anys,309
2016,3,Sants-Montjuïc,16,la Bordeta,Dona,Estrangera,30-34 anys,219
2016,3,Sants-Montjuïc,17,Sants - Badal,Dona,Estrangera,30-34 anys,355
2016,3,Sants-Montjuïc,18,Sants,Dona,Estrangera,30-34 anys,617
2016,4,Les Corts,19,les Corts,Dona,Estrangera,30-34 anys,431
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,Estrangera,30-34 anys,250
2016,4,Les Corts,21,Pedralbes,Dona,Estrangera,30-34 anys,85
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,Estrangera,30-34 anys,48
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,Estrangera,30-34 anys,170
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,Estrangera,30-34 anys,89
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,Estrangera,30-34 anys,188
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,Estrangera,30-34 anys,441
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,Estrangera,30-34 anys,357
2016,6,Gràcia,28,Vallcarca i els Penitents,Dona,Estrangera,30-34 anys,192
2016,6,Gràcia,29,el Coll,Dona,Estrangera,30-34 anys,84
2016,6,Gràcia,30,la Salut,Dona,Estrangera,30-34 anys,142
2016,6,Gràcia,31,la Vila de Gràcia,Dona,Estrangera,30-34 anys,1103
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,Estrangera,30-34 anys,470
2016,7,Horta-Guinardó,33,el Baix Guinardó,Dona,Estrangera,30-34 anys,300
2016,7,Horta-Guinardó,34,Can Baró,Dona,Estrangera,30-34 anys,102
2016,7,Horta-Guinardó,35,el Guinardó,Dona,Estrangera,30-34 anys,482
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,Estrangera,30-34 anys,43
2016,7,Horta-Guinardó,37,el Carmel,Dona,Estrangera,30-34 anys,328
2016,7,Horta-Guinardó,38,la Teixonera,Dona,Estrangera,30-34 anys,114
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,Estrangera,30-34 anys,71
2016,7,Horta-Guinardó,40,Montbau,Dona,Estrangera,30-34 anys,45
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,Estrangera,30-34 anys,41
2016,7,Horta-Guinardó,42,la Clota,Dona,Estrangera,30-34 anys,8
2016,7,Horta-Guinardó,43,Horta,Dona,Estrangera,30-34 anys,211
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,Estrangera,30-34 anys,262
2016,8,Nou Barris,45,Porta,Dona,Estrangera,30-34 anys,278
2016,8,Nou Barris,46,el Turó de la Peira,Dona,Estrangera,30-34 anys,233
2016,8,Nou Barris,47,Can Peguera,Dona,Estrangera,30-34 anys,11
2016,8,Nou Barris,48,la Guineueta,Dona,Estrangera,30-34 anys,79
2016,8,Nou Barris,49,Canyelles,Dona,Estrangera,30-34 anys,23
2016,8,Nou Barris,50,les Roquetes,Dona,Estrangera,30-34 anys,240
